timestamp,actual_load_p,predicted_load_p,abs_error_kw
2026-03-01 00:00:00,1.934636667,1.8319103960820207,0.10272627091797926
2026-03-01 00:15:00,1.968086667,1.8676870987420833,0.10039956825791663
2026-03-01 00:30:00,1.512046667,1.8520654448496892,0.34001877784968926
2026-03-01 00:45:00,1.63518,1.4975294180083203,0.1376505819916798
2026-03-01 01:00:00,1.714956667,1.5632782065449466,0.1516784604550534
2026-03-01 01:15:00,1.100096667,1.5837515814052463,0.4836549144052462
2026-03-01 01:30:00,1.394636667,1.2421565824469238,0.15248008455307627
2026-03-01 01:45:00,1.96784,1.8749851668594426,0.09285483314055742
2026-03-01 02:00:00,1.542786667,2.065242669542986,0.5224560025429861
2026-03-01 02:15:00,1.45488,2.052633919176892,0.5977539191768921
2026-03-01 02:30:00,2.044226667,2.106691735060152,0.06246506806015173
2026-03-01 02:45:00,2.08461,1.9018991977781643,0.18271080222183578
2026-03-01 03:00:00,2.023423333,2.211217105478195,0.18779377247819484
2026-03-01 03:15:00,1.995103333,2.163702718827311,0.1685993858273107
2026-03-01 03:30:00,1.90579,2.1696578011180154,0.26386780111801533
2026-03-01 03:45:00,1.326003333,1.992344974901679,0.666341641901679
2026-03-01 04:00:00,1.312836667,1.7313099563944778,0.4184732893944778
2026-03-01 04:15:00,0.890563333,1.6786275174370047,0.7880641844370047
2026-03-01 04:30:00,0.926153333,1.2630375772936846,0.3368842442936846
2026-03-01 04:45:00,1.49482,1.1258996619411459,0.36892033805885416
2026-03-01 05:00:00,1.341966667,1.6300342983243858,0.28806763132438595
2026-03-01 05:15:00,1.40878,1.5422896593778026,0.13350965937780268
2026-03-01 05:30:00,1.04825,1.6239335004223037,0.5756835004223038
2026-03-01 05:45:00,1.116666667,1.4260811125240553,0.3094144455240553
2026-03-01 06:00:00,1.217,1.3633732252757367,0.1463732252757366
2026-03-01 06:15:00,1.071,1.416137885308813,0.34513788530881295
2026-03-01 06:30:00,0.929666667,1.3186021176562601,0.3889354506562601
2026-03-01 06:45:00,1.561,1.110944604787954,0.45005539521204585
2026-03-01 07:00:00,1.399,1.711628546006881,0.31262854600688095
2026-03-01 07:15:00,1.212,1.5725608454956095,0.3605608454956095
2026-03-01 07:30:00,1.543,1.480125776369235,0.06287422363076489
2026-03-01 07:45:00,1.594333333,1.7107699003770431,0.11643656737704311
2026-03-01 08:00:00,1.668533333,1.8461228519760147,0.1775895189760146
2026-03-01 08:15:00,3.57179,3.0298358668941976,0.5419541331058024
2026-03-01 08:30:00,3.2947,3.1734900373975066,0.12120996260249361
2026-03-01 08:45:00,2.478326667,2.8670287860308648,0.3887021190308646
2026-03-01 09:00:00,1.185886667,3.2516029060643192,2.0657162390643196
2026-03-01 09:15:00,3.183753333,2.605603302368914,0.578150030631086
2026-03-01 09:30:00,3.44023,3.10511410700399,0.3351158929960101
2026-03-01 09:45:00,2.165246667,2.8502645892166294,0.6850179222166295
2026-03-01 10:00:00,2.519246667,2.264668016998781,0.25457865000121904
2026-03-01 10:15:00,2.48026,2.3915110697973834,0.08874893020261654
2026-03-01 10:30:00,3.026763333,2.356580174389418,0.6701831586105818
2026-03-01 10:45:00,2.62669,2.2644057160701268,0.3622842839298732
2026-03-01 11:00:00,2.60791,1.863517470675035,0.7443925293249649
2026-03-01 11:15:00,3.54451,1.8209010635971339,1.723608936402866
2026-03-01 11:30:00,1.24864,2.998476884871366,1.7498368848713661
2026-03-01 11:45:00,1.77102,1.025518125984869,0.7455018740151311
2026-03-01 12:00:00,1.99754,1.3854509060700633,0.6120890939299368
2026-03-01 12:15:00,2.411706667,1.4646081076101938,0.947098559389806
2026-03-01 12:30:00,1.28401,1.7785975665878277,0.49458756658782765
2026-03-01 12:45:00,1.22009,1.1716039295026857,0.04848607049731424
2026-03-01 13:00:00,0.90471,1.2725528250267433,0.36784282502674326
2026-03-01 13:15:00,0.621056667,1.143532850493466,0.5224761834934661
2026-03-01 13:30:00,1.6366,0.7681671329169982,0.8684328670830018
2026-03-01 13:45:00,4.108116667,1.174376122136498,2.933740544863502
2026-03-01 14:00:00,3.95917,1.5722040936950628,2.386965906304937
2026-03-01 14:15:00,3.640906667,1.88827536561926,1.75263130138074
2026-03-01 14:30:00,3.582836667,1.9670221373540713,1.6158145296459288
2026-03-01 14:45:00,3.50879,1.8372121439834057,1.6715778560165941
2026-03-01 15:00:00,4.030036667,2.119467547426925,1.9105691195730752
2026-03-01 15:15:00,2.25932,3.1746167734615423,0.915296773461542
2026-03-01 15:30:00,1.08494,2.13659639780909,1.05165639780909
2026-03-01 15:45:00,0.466173333,1.512979332166137,1.046805999166137
2026-03-01 16:00:00,0.693493333,1.3062928957393498,0.6127995627393498
2026-03-01 16:15:00,0.991253333,1.376893397814106,0.38564006481410606
2026-03-01 16:30:00,0.755926667,1.2188686376263609,0.4629419706263609
2026-03-01 16:45:00,0.24649,1.4239071837386685,1.1774171837386684
2026-03-01 17:00:00,0.584846667,0.8225421595417257,0.23769549254172573
2026-03-01 17:15:00,0.771963333,1.107907404048219,0.3359440710482191
2026-03-01 17:30:00,0.452053333,1.1350051107938746,0.6829517777938745
2026-03-01 17:45:00,0.81871,1.2082885737929077,0.3895785737929076
2026-03-01 18:00:00,0.71029,1.2852158278964774,0.5749258278964774
2026-03-01 18:15:00,1.142103333,1.3723583360676657,0.23025500306766555
2026-03-01 18:30:00,1.15716,1.7548399566729527,0.5976799566729527
2026-03-01 18:45:00,1.120796667,1.5900603587762485,0.4692636917762485
2026-03-01 19:00:00,1.74908,1.725471510028728,0.023608489971272073
2026-03-01 19:15:00,2.261806667,2.2596309355962987,0.0021757314037014197
2026-03-01 19:30:00,1.772906667,2.3445117759685448,0.5716051089685448
2026-03-01 19:45:00,1.917766667,2.242621082220334,0.32485441522033387
2026-03-01 20:00:00,1.95388,2.081785317146333,0.12790531714633313
