timestamp,actual_load,legacy_pred,new_pred
2026-03-01 00:00:00,1.934636667,1.8319103960820207,1.908181212538999
2026-03-01 00:15:00,1.968086667,1.8676870987420833,1.8368225534266933
2026-03-01 00:30:00,1.512046667,1.8520654448496892,1.877233343910349
2026-03-01 00:45:00,1.63518,1.4975294180083203,1.5663571309990358
2026-03-01 01:00:00,1.714956667,1.5632782065449466,1.626774909777673
2026-03-01 01:15:00,1.100096667,1.5837515814052463,1.671337715799842
2026-03-01 01:30:00,1.394636667,1.2421565824469238,1.3159701477095025
2026-03-01 01:45:00,1.96784,1.8749851668594426,2.614752295621713
2026-03-01 02:00:00,1.542786667,2.065242669542986,2.709418145160086
2026-03-01 02:15:00,1.45488,2.052633919176892,2.5016761000911805
2026-03-01 02:30:00,2.044226667,2.106691735060152,2.474821512188008
2026-03-01 02:45:00,2.08461,1.9018991977781643,2.131347966432389
2026-03-01 03:00:00,2.023423333,2.211217105478195,2.212681174026024
2026-03-01 03:15:00,1.995103333,2.163702718827311,1.9629166434354772
2026-03-01 03:30:00,1.90579,2.1696578011180154,1.9848243610429441
2026-03-01 03:45:00,1.326003333,1.992344974901679,1.7906398381851303
2026-03-01 04:00:00,1.312836667,1.7313099563944778,1.418241260895654
2026-03-01 04:15:00,0.890563333,1.6786275174370047,1.421393407710755
2026-03-01 04:30:00,0.926153333,1.2630375772936846,1.1149567362798485
2026-03-01 04:45:00,1.49482,1.1258996619411459,1.067971561734618
2026-03-01 05:00:00,1.341966667,1.6300342983243858,1.4488425403040128
2026-03-01 05:15:00,1.40878,1.5422896593778026,1.360600787901698
2026-03-01 05:30:00,1.04825,1.6239335004223037,1.3820812023837419
2026-03-01 05:45:00,1.116666667,1.4260811125240553,1.1633548330158332
2026-03-01 06:00:00,1.217,1.3633732252757367,1.2376693145061035
2026-03-01 06:15:00,1.071,1.416137885308813,1.271805194214563
2026-03-01 06:30:00,0.929666667,1.3186021176562601,1.1927435860730953
2026-03-01 06:45:00,1.561,1.110944604787954,1.1082340501724839
2026-03-01 07:00:00,1.399,1.711628546006881,1.5012990969851445
2026-03-01 07:15:00,1.212,1.5725608454956095,1.4186787400707288
2026-03-01 07:30:00,1.543,1.480125776369235,1.4428421217499903
2026-03-01 07:45:00,1.594333333,1.7107699003770431,1.6135244949772956
2026-03-01 08:00:00,1.668533333,1.8461228519760147,1.7350754427285182
2026-03-01 08:15:00,3.57179,3.0298358668941976,2.402226572397157
2026-03-01 08:30:00,3.2947,3.1734900373975066,3.276141558608567
2026-03-01 08:45:00,2.478326667,2.8670287860308648,2.93317311555915
2026-03-01 09:00:00,1.185886667,3.2516029060643192,2.9809308229647793
2026-03-01 09:15:00,3.183753333,2.605603302368914,2.4216656462769035
2026-03-01 09:30:00,3.44023,3.10511410700399,3.141874440764855
2026-03-01 09:45:00,2.165246667,2.8502645892166294,3.1744961284817697
2026-03-01 10:00:00,2.519246667,2.264668016998781,2.0109734236282244
2026-03-01 10:15:00,2.48026,2.3915110697973834,2.290789553973572
2026-03-01 10:30:00,3.026763333,2.356580174389418,2.2366215034027888
2026-03-01 10:45:00,2.62669,2.2644057160701268,2.693940305868825
2026-03-01 11:00:00,2.60791,1.863517470675035,2.2849136514377064
2026-03-01 11:15:00,3.54451,1.8209010635971339,2.395424509940022
2026-03-01 11:30:00,1.24864,2.998476884871366,2.747795430052421
2026-03-01 11:45:00,1.77102,1.025518125984869,1.472639162493421
2026-03-01 12:00:00,1.99754,1.3854509060700633,1.854888620535089
2026-03-01 12:15:00,2.411706667,1.4646081076101938,1.8754038338414694
